,Id,Is a hotdog a sandwich?,Explain your answer.,What year are you? ,Where are you from? ,result
0,1,No,its just not,Fourth-Year ,nova,0
1,2,No,,Fourth-Year ,,0
2,3,No,"The bread is connected for a hot dog, while a sandwich has two separate pieces of bread.",Fourth-Year ,Northern Virginia,0
3,4,No,"A hot dog is a hot dog with or without the bread, a sandwhich without the bread is not a sandwhich",Fourth-Year ,NoVa,0
4,5,No,"The definition of a sandwich involves TWO pieces of bread; the bun on a hotdog is one entire piece of bread, just folded in half.",Fourth-Year ,"Houston, Texas",0
5,6,No,,Fourth-Year ,"Vienna, Virginia",0
6,7,No,You don't assemble the ingredients like a sandwich + you eat it vertically not horizontally like a sandwich.,Fourth-Year ,Virginia,0
7,8,No,,Fourth-Year ,"Arlington, VA",0
8,9,No,,Fourth-Year ,san francisco ,0
9,10,No,The way of eating.,Fourth-Year ,New Jersey,0
10,11,No,,Fourth-Year ,,0
11,12,Yes,Bread and meat,Second-Year ,Nova,1
12,13,No,It’s a single bun,Fourth-Year ,Virginia,0
13,14,Yes,,Fourth-Year ,,1
14,15,No,"Because a hot dog bun is connected at one end, it cannot be considered a sandwich.",Fourth-Year ,"Richmond, VA",0
15,16,No,You wouldn't cut a hot dog in half like you could for any sandwich ,Fourth-Year ,Texas,0
16,17,No,"a hotdog is its own entity and similar to a hamburger, which also isnt a sandwich",Fourth-Year ,"Arlington, Virginia",0
17,18,No,,Fourth-Year ,,0
18,19,Yes,Because it is on a bun in between two pieces,Fourth-Year ,MA,1
19,20,No,,Fourth-Year ,"Long Island, NY",0
20,21,Yes,Yes because the definition of a sandwich is something enclosed between two pieces of bread and a hotdog is,Fourth-Year ,New York,1
21,22,No,it's a hot dog! duh! ,Fourth-Year ,Georgia,0
22,23,No,,Fourth-Year ,San Francisco,0
23,24,No,Not a sandwich bc duh,Fourth-Year ,Ct,0
24,25,No,,Fourth-Year ,,0
25,26,No,it's not between two separate slices and you eat it in a different orientation,Fourth-Year ,"chesapeake, va",0
26,27,No,,Fourth-Year ,Virginia,0
27,28,No,"A hot dog goes on a hot dog bun, not sandwich bread and sits on a separate part of the menu.  Or, if it is grouped with sandwiched, the menu reads ""handhelds"" and not ""sandwiches"" because hot dogs are not sandwiches.",Fourth-Year ,NY,0
